"Id_Accedeweb","Cd_Accedeweb","Description","Label","Rank","Dtype","Cd_Rgaa3","Id_Test_Id"
"889","Rgaa32017-12-5-1-Accedeweb-GRAPH-1-4",NULL,NULL,"351","G","Rgaa32017-12-5-1","289"
"890","Rgaa32017-12-5-2-Accedeweb-GRAPH-1-4",NULL,NULL,"352","G","Rgaa32017-12-5-2","290"
"891","Rgaa32017-12-5-3-Accedeweb-GRAPH-1-4",NULL,NULL,"353","G","Rgaa32017-12-5-3","291"
"892","Rgaa32017-12-6-1-Accedeweb-GRAPH-1-4",NULL,NULL,"354","G","Rgaa32017-12-6-1","292"
"893","Rgaa32017-12-6-2-Accedeweb-GRAPH-1-4",NULL,NULL,"355","G","Rgaa32017-12-6-2","293"
"894","Rgaa32017-12-6-3-Accedeweb-GRAPH-1-4",NULL,NULL,"356","G","Rgaa32017-12-6-3","294"
"895","Rgaa32017-12-5-3-Accedeweb-HTML-1-9",NULL,NULL,"357","H","Rgaa32017-12-5-3","291"
"896","Rgaa32017-12-6-3-Accedeweb-HTML-1-9",NULL,NULL,"358","H","Rgaa32017-12-6-3","294"
"897","Rgaa32017-12-8-1-Accedeweb-GRAPH-1-1",NULL,NULL,"359","G","Rgaa32017-12-8-1","296"
"898","Rgaa32017-12-9-1-Accedeweb-GRAPH-1-1",NULL,NULL,"360","G","Rgaa32017-12-9-1","297"
"899","Rgaa32017-12-10-1-Accedeweb-HTML-12-2",NULL,NULL,"361","H","Rgaa32017-12-10-1","298"
"900","Rgaa32017-12-10-2-Accedeweb-HTML-12-2",NULL,NULL,"362","H","Rgaa32017-12-10-2",NULL
"901","Rgaa32017-12-10-3-Accedeweb-HTML-12-2",NULL,NULL,"363","H","Rgaa32017-12-10-3",NULL
"902","Rgaa32017-12-10-4-Accedeweb-HTML-1-1",NULL,NULL,"364","H","Rgaa32017-12-10-4",NULL
"903","Rgaa32017-12-10-4-Accedeweb-HTML-1-2",NULL,NULL,"365","H","Rgaa32017-12-10-4",NULL
"904","Rgaa32017-12-10-4-Accedeweb-HTML-1-3",NULL,NULL,"366","H","Rgaa32017-12-10-4",NULL
"905","Rgaa32017-12-10-4-Accedeweb-HTML-1-4",NULL,NULL,"367","H","Rgaa32017-12-10-4",NULL
"906","Rgaa32017-12-10-4-Accedeweb-HTML-1-5",NULL,NULL,"368","H","Rgaa32017-12-10-4",NULL
"907","Rgaa32017-12-11-1-Accedeweb-GRAPH-1-7",NULL,NULL,"369","G","Rgaa32017-12-11-1","299"
"908","Rgaa32017-12-11-2-Accedeweb-GRAPH-1-7",NULL,NULL,"370","G","Rgaa32017-12-11-2","300"
"909","Rgaa32017-12-11-3-Accedeweb-GRAPH-1-7",NULL,NULL,"371","G","Rgaa32017-12-11-3","301"
"910","Rgaa32017-12-11-4-Accedeweb-GRAPH-1-7",NULL,NULL,"372","G","Rgaa32017-12-11-4","302"
"911","Rgaa32017-12-11-1-Accedeweb-HTML-12-2",NULL,NULL,"373","H","Rgaa32017-12-11-1","299"
"912","Rgaa32017-12-11-2-Accedeweb-HTML-12-2",NULL,NULL,"374","H","Rgaa32017-12-11-2","300"
"913","Rgaa32017-12-11-3-Accedeweb-HTML-12-2",NULL,NULL,"375","H","Rgaa32017-12-11-3","301"
"914","Rgaa32017-12-11-4-Accedeweb-HTML-12-2",NULL,NULL,"376","H","Rgaa32017-12-11-4","302"
