"Id_Parameter","Parameter_Value","Id_Parameter_Element","Is_Default"
"25","Rgaa32017;LEVEL_1","5","0"
"26","Rgaa32017;LEVEL_2","5","1"
"27","Rgaa32017;LEVEL_3","5","0"
